NPA,Bicycle Friendliness,Employment,Food and Nutrition Services,High Speed Internet Access,Home Ownership,Home Sales Price,Household Income,Housing Assistance – Development-Based,Housing Code Violations,Neighborhood Organizations,Nuisance Violations,Population - Youth,Proximity to a Grocery Store,Proximity to a Pharmacy,Proximity to Early Care and Education,Proximity to Financial Services,Proximity to Public Outdoor Recreation,Proximity to School-Age Care,Rental Costs,Single-Family Housing,Test Proficiency - Elementary School,Test Proficiency - High School,Test Proficiency - Middle School,Tree Canopy
59,2,96.9%,33.9%,84.5%,30.7%,"$965,152","$55,575",0%,3,2,10,16.8%,18.7%,60.1%,95.2%,18.4%,78.4%,88.6%,"$1,342",28.9%,24.7%,38.5%,31.8%,38.2%
60,2,96.3%,22.1%,79.6%,0.9%,"$321,864","$27,206",0.5%,0,2,1,8.5%,0%,0%,88%,0%,61.7%,88%,$916,0.3%,29.3%,39.1%,22.6%,38.8%
61,2,96.9%,18.3%,77.8%,71.2%,"$259,980","$49,000",0%,1,1,14,27.6%,0%,0%,99.3%,0%,100%,99.3%,$652,63.8%,34.8%,46.7%,13.6%,23.5%
62,2,73.3%,0.6%,--,--,"$226,333",--,--,--,2,--,0%,--,0%,--,--,--,--,--,--,--,--,--,23.5%
64,2,96.3%,19.3%,75.1%,11%,"$328,737","$36,029",1.2%,1,4,4,13.6%,39.1%,0%,51.7%,81.5%,42.1%,51.7%,"$1,087",9.3%,26%,26.3%,13.8%,32.1%
65,2,99.4%,22%,100%,0%,"$445,947","$65,250",0%,0,2,1,25.7%,85.6%,46.2%,60.7%,0%,65.9%,60.7%,"$1,528",0.1%,33.3%,5.9%,27.3%,47%
66,2,95.6%,18.4%,70.5%,9.3%,"$372,176","$44,985",0%,1,5,2,12.9%,100%,77.8%,0%,78.7%,100%,--,"$1,340",2.1%,22.2%,25%,30%,15.1%
67,2,100%,18.9%,91%,0%,--,"$72,162",0%,0,1,1,13.9%,100%,0%,99.9%,0%,71.4%,99.9%,"$1,659",0.1%,20%,14.3%,23.8%,23.9%
68,1,98.3%,22.1%,77.2%,39.7%,--,"$53,191",0%,1,6,5,27%,55.7%,55.2%,95%,56.9%,16.7%,96.7%,"$1,740",30.5%,41.4%,35.3%,32.1%,36.7%
69,2,98.2%,3%,88.5%,41.6%,"$181,539","$141,985",0%,1,4,2,21.5%,78.3%,67.2%,0%,84.6%,57.9%,50.9%,"$2,123",22.1%,84.2%,80%,95%,40%
70,2,85.1%,37.4%,57.5%,68%,"$257,780","$41,910",0%,1,5,30,17.4%,67.4%,44.1%,100%,52.3%,100%,100%,"$1,327",100%,18.9%,21.4%,25.6%,18.6%
71,2,89.2%,32.2%,70.2%,27.3%,"$1,275,531","$62,936",10.2%,1,1,5,25.6%,62.8%,59.7%,100%,69.9%,76.3%,100%,"$1,287",14.5%,21.5%,23.6%,19.7%,62.3%
72,2,97.9%,19.5%,97.9%,26.2%,--,"$72,584",0%,0,5,1,13.5%,10.2%,33.4%,0%,6.9%,67.5%,--,"$1,686",9.3%,44.2%,42.9%,50%,38.9%
73,2,97.1%,23.8%,73.9%,74.6%,"$489,675","$69,497",0%,0,5,7,29.2%,4.6%,1.5%,36.5%,0%,8.2%,5.4%,"$1,174",99.8%,47.7%,36.5%,38.8%,58%
74,2,90.7%,7.5%,84.8%,66.4%,"$312,952","$83,224",0%,0,2,3,6.9%,69.2%,68.6%,0%,0%,100%,41.1%,"$1,430",23.2%,73.3%,--,42.1%,41.3%
75,1,97.1%,6.2%,87.9%,60%,"$259,033","$103,056",0%,0,1,0,19.6%,26.5%,92.7%,78.2%,0%,56.7%,84.8%,"$1,745",20.2%,76.3%,85.4%,74.4%,47.2%
76,1,95.8%,16.8%,96.9%,89.2%,"$297,141","$110,625",4.6%,0,4,4,24.5%,0.5%,8.4%,28.1%,2.4%,12%,6.9%,"$2,617",80.6%,52.8%,46.2%,41.2%,66.2%
77,1,93.3%,21%,80.4%,47.3%,--,"$74,665",0%,0,5,2,32.4%,55.2%,57.6%,91%,50.3%,61.1%,90.5%,"$1,540",43.4%,50.5%,43.8%,37.9%,54.9%
78,1,89.7%,17.2%,90.8%,66%,"$292,350","$92,682",0%,0,1,8,21.2%,24.1%,44.7%,70.4%,34.6%,33%,70.4%,"$1,700",38.9%,45.9%,35.7%,34.4%,45.2%
79,1,92.1%,30.5%,44.1%,7%,"$304,046","$35,194",7.4%,1,1,1,39%,76.3%,100%,100%,0%,100%,100%,"$1,205",0%,18.1%,15.2%,9.4%,52.9%
80,2,100%,24.9%,95.8%,24.3%,"$318,182","$69,407",0%,0,3,0,20.2%,80.2%,0%,82.4%,0%,0.7%,82.4%,"$1,420",1.1%,38.5%,14.3%,43.5%,49.2%
81,1,85.5%,20%,90.5%,88.6%,"$295,565","$81,680",14.8%,0,2,4,12.9%,3.1%,39.8%,97.1%,32.5%,98.9%,100%,"$2,071",51.2%,61.3%,57.1%,26.7%,55.6%
82,1,97.1%,12.8%,82.1%,40.9%,"$302,500","$74,500",0%,0,9,2,12.1%,36.5%,49.9%,99%,38.7%,81%,99%,"$1,805",30.4%,45%,50%,39.8%,45.7%
83,1,90.3%,20.2%,79.9%,37%,"$165,684","$49,730",0%,0,4,0,32.6%,0%,0%,25.7%,0%,39.7%,4%,$861,99%,23.6%,17.4%,21.1%,83%
84,2,100%,16.2%,75.2%,42.4%,"$344,791","$55,952",0%,0,0,0,5.6%,0%,4.1%,3.2%,0%,82.1%,70.7%,"$1,526",30.3%,33.3%,--,30%,76.1%
85,2,96.5%,62.3%,73.6%,41.6%,"$272,712","$34,568",10.6%,4,3,44,21.6%,35.2%,31.5%,100%,46%,100%,100%,"$1,238",81%,12.5%,33.3%,19.3%,32%
86,2,91%,32%,74.1%,6.8%,"$454,765","$53,229",3.3%,1,1,1,28%,100%,100%,98%,1.7%,99.8%,100%,"$1,379",1.8%,18.4%,22.2%,15.8%,23.3%
87,2,100%,17.7%,86.1%,42.2%,"$342,462","$75,281",4.6%,1,4,20,6.2%,59.8%,46.4%,99.4%,28.7%,100%,99.4%,"$1,504",45.2%,50%,--,50%,36.5%
88,2,82.5%,48%,51.9%,73.5%,"$239,152","$32,434",3.3%,1,7,28,18.3%,0%,4.1%,100%,0%,100%,100%,"$1,147",81.9%,26.8%,43.8%,33.3%,30.8%
89,2,90.8%,30.2%,72.5%,51.2%,"$330,630","$52,420",0%,0,3,17,30.9%,54.9%,0%,98.7%,0%,0%,98.7%,"$1,239",100%,36.8%,50%,38.5%,48%
90,2,98.1%,28%,69.9%,22.2%,"$358,163","$45,307",35.3%,1,2,15,26%,6.3%,63%,51.4%,33.1%,100%,51.4%,"$1,072",40.7%,28%,50%,20.8%,43.3%
91,1,89.4%,23.5%,80.6%,50.5%,"$330,051","$59,592",0%,0,2,15,18%,0%,0%,97%,0%,32.7%,97%,"$1,181",82.8%,32.9%,36%,32.1%,46.4%
92,1,93.9%,16.3%,78.6%,12.3%,"$676,467","$86,922",8.8%,0,2,3,18.6%,75%,100%,83.7%,100%,12.4%,83.7%,"$1,595",0.4%,26.7%,40%,34.3%,24.4%
93,2,89%,35.3%,79.1%,0%,"$284,554","$53,185",0%,0,1,2,32.3%,92.9%,99.4%,100%,75%,0%,75%,"$1,329",0.2%,32.8%,27.3%,14.5%,51.3%
94,2,91.7%,55.9%,76.1%,56.6%,"$341,948","$44,250",0%,1,9,38,32.7%,52.9%,12.1%,55.6%,53.6%,99.3%,55.6%,"$1,411",64.5%,31.8%,11.5%,17.7%,44.3%
95,2,92.2%,16.4%,92.4%,62.6%,"$372,534","$83,868",0%,0,2,10,20.2%,62.4%,61.5%,89.7%,65.4%,75%,89.7%,"$1,383",52.7%,50.8%,36.4%,32.2%,42.5%
96,2,96.8%,17.9%,84.2%,41.2%,"$295,964","$85,523",4.4%,0,3,4,19.8%,54.7%,34.4%,100%,51.9%,0%,100%,"$1,663",24.3%,42.1%,32.1%,24.8%,46.5%
97,1,98%,12.2%,89%,59%,"$289,979","$96,436",0%,0,6,7,21.6%,14.3%,11.8%,34.5%,20.5%,90.9%,34.5%,"$1,623",49.5%,36.4%,43.3%,22.7%,59%
98,1,98.8%,25.1%,82.8%,88.4%,"$375,145","$61,200",0%,0,4,14,29.2%,0.6%,0.8%,56.9%,0%,31%,57%,"$1,815",84.7%,54.9%,46.7%,36.1%,55.2%
99,2,96.9%,10.1%,85.9%,76.1%,"$343,438","$95,500",0%,1,4,33,23.1%,32.9%,0%,30.5%,38.8%,100%,27.6%,"$1,464",100%,61%,45%,46.5%,50.9%
100,1,83.8%,31.5%,65.9%,51.7%,"$252,679","$55,208",0%,1,3,24,41.4%,0%,25.9%,97.2%,0%,99.3%,100%,"$1,204",62.3%,41.3%,37.5%,17.5%,35.5%
