NPA,Bicycle Friendliness,Employment,Food and Nutrition Services,High Speed Internet Access,Home Ownership,Home Sales Price,Household Income,Housing Assistance – Development-Based,Housing Code Violations,Neighborhood Organizations,Nuisance Violations,Population - Youth,Proximity to a Grocery Store,Proximity to a Pharmacy,Proximity to Early Care and Education,Proximity to Financial Services,Proximity to Public Outdoor Recreation,Proximity to School-Age Care,Rental Costs,Single-Family Housing,Test Proficiency - Elementary School,Test Proficiency - High School,Test Proficiency - Middle School,Tree Canopy
393,2,97.5%,6.8%,95.1%,55.7%,"$482,354","$106,139",1.2%,0,11,25,20.8%,76%,41.6%,49.5%,77.9%,93.6%,45.9%,"$1,782",43.2%,53%,60%,50.6%,34.5%
394,2,93.3%,13%,83.9%,53.3%,"$465,254","$62,614",4.8%,1,4,17,23.1%,26.7%,4.2%,53.9%,2.4%,48.6%,61.3%,$978,36.8%,57.7%,75%,43.1%,33.7%
395,--,100%,8.8%,86.6%,43%,"$412,814","$121,823",0%,--,0,--,9.9%,29.7%,88.5%,32.8%,38.9%,92.1%,5.7%,"$1,759",33.4%,40.6%,35.3%,41.7%,49.8%
396,--,99.3%,9.6%,81.6%,94.9%,"$406,980","$79,946",0%,--,2,--,16.8%,0%,0%,0%,0%,28.9%,--,"$1,315",99.9%,65.4%,55%,38.2%,59.9%
397,--,100%,8.7%,92.1%,7.5%,"$444,525","$74,130",0%,--,0,--,7.8%,9.4%,98.8%,100%,100%,90.6%,100%,"$1,520",3.4%,48.7%,60%,35.5%,21.9%
398,--,90.9%,4.7%,70.7%,72.2%,"$586,500","$63,295",0%,--,0,--,39.6%,0%,0%,7.5%,2.2%,100%,7.5%,"$1,352",32.9%,75%,81.8%,81.3%,52%
399,--,96.9%,4.2%,81.8%,48.6%,"$572,779","$89,784",0%,--,0,--,27.4%,48.2%,47.6%,68.6%,77.7%,100%,68.6%,"$1,481",62.3%,60.7%,55.6%,73.9%,47.3%
400,--,99.4%,1.7%,85.3%,95.8%,"$397,791","$155,568",0%,--,0,0,21.6%,0%,0%,59.1%,25.9%,58.9%,70.1%,--,100%,91%,87%,77.8%,73.9%
401,--,97.5%,9.7%,85.6%,85%,"$385,131","$94,688",0%,--,0,--,17.6%,5.8%,27.5%,31.5%,9.7%,70.4%,1.9%,"$1,569",70.5%,62.5%,63.3%,54.9%,62.4%
402,--,95.5%,7.8%,86.7%,91%,"$384,934","$109,489",0%,--,0,--,22.1%,0%,1.4%,0%,0%,0.1%,--,"$2,431",82.9%,63.2%,72.7%,60%,67.2%
403,--,94.5%,3.8%,84.6%,96.5%,"$691,217","$127,411",0%,--,1,--,19.9%,27.1%,12.3%,39.4%,35.1%,30.8%,39.4%,--,94.4%,70.8%,66.7%,62.7%,62.3%
404,--,88.8%,16.1%,65.6%,44%,"$352,119","$47,212",3.6%,--,0,--,30.9%,69.6%,61.4%,20.5%,15.5%,96.5%,84.5%,"$1,307",60%,44.8%,54.8%,36.5%,50.8%
405,--,94.7%,6.7%,87.5%,72.8%,"$403,220","$90,993",0%,--,0,--,23.7%,0.8%,0.4%,42.6%,0%,100%,52.8%,"$1,922",74.7%,71.1%,72.5%,62.5%,46.3%
406,--,97%,6.7%,89.8%,87%,"$506,645","$106,938",0%,--,1,--,7.8%,26.1%,9%,22%,20.4%,44.3%,11.9%,"$1,412",92.4%,41.7%,50%,36.8%,66.9%
407,--,96.9%,10.2%,88%,95.8%,"$410,439","$113,889",0%,--,0,--,20.1%,28.4%,20.7%,14.3%,29.3%,41.9%,14.3%,--,98.8%,65.5%,35.7%,57.6%,63%
408,--,86.2%,4.9%,87.3%,69.5%,"$438,198","$96,927",0%,--,1,--,14.6%,38.9%,38.6%,35.6%,48.1%,13.9%,35.6%,--,81.3%,62.1%,52.4%,73.7%,62.3%
409,--,96%,0.6%,99.1%,92.3%,"$1,560,137","$200,455",0%,--,0,--,22.1%,31%,28.9%,28.4%,28.3%,60.3%,28.4%,"$2,106",91.9%,88.6%,76.2%,87.5%,50.3%
410,--,98.3%,2.5%,67%,81.7%,"$541,263","$98,750",0%,--,0,--,12%,0.1%,0%,19.4%,40.3%,98.2%,19.4%,"$1,682",12.7%,71.4%,--,50%,32%
411,--,89.4%,7.2%,85.7%,69.5%,"$341,462","$82,727",0%,--,0,--,25.9%,0.1%,0%,26.4%,0%,100%,26.4%,"$1,489",56.2%,71.8%,44.8%,73.8%,45.8%
412,--,100%,3.6%,83.6%,94%,"$699,720","$188,039",0%,--,0,--,24.9%,5.5%,1.2%,3.7%,3.7%,1.1%,3.7%,--,99.6%,81.6%,73.3%,84.8%,52.6%
413,--,97%,1.3%,96.3%,96.5%,"$582,691","$178,917",0%,--,0,--,28%,0%,0.4%,0.7%,0.7%,16.7%,0.7%,"$2,917",98.9%,85%,60%,83.3%,42.9%
416,--,98.4%,12.6%,87.5%,24.2%,"$314,000","$84,340",0%,--,0,--,13.2%,100%,100%,100%,100%,95.2%,100%,"$1,637",8.9%,48.1%,58.3%,61.5%,31.3%
417,--,95.7%,6.8%,88.1%,78.2%,"$498,836","$140,060",0%,--,0,--,30.2%,35.6%,46.4%,48.3%,40.3%,70%,68.4%,"$2,117",75.4%,65.3%,47.1%,61.7%,42%
418,--,97.4%,5.7%,100%,79.8%,"$603,709","$123,551",0%,--,0,--,29%,32.7%,37.7%,41.4%,41.6%,87.2%,81.9%,"$1,872",71.5%,79.8%,77.3%,61.2%,45.1%
419,--,98.9%,1.6%,96.6%,99%,"$543,045","$134,211",0%,--,0,--,26.7%,0%,0%,16.5%,0%,99.5%,17.7%,--,100%,90.2%,93.8%,78.3%,63.2%
420,--,97.4%,2.5%,86.6%,64.7%,"$493,006","$119,902",0%,--,1,--,18.3%,33.3%,52.2%,64.9%,39.8%,60.6%,64.9%,"$1,770",79%,86.8%,55.6%,77.1%,41.7%
421,--,95.3%,3%,93.7%,86.6%,"$482,506","$148,194",0%,--,0,--,27%,0%,0%,0%,0%,68.6%,--,"$2,385",55.8%,75%,58.3%,66.7%,36.2%
422,--,96.9%,14.7%,90.6%,41.4%,"$348,000","$72,387",0%,--,0,--,20.1%,26.2%,9.1%,54.4%,24.4%,62.2%,54.4%,"$1,684",43.3%,33.1%,28.9%,34.8%,46.6%
423,--,97.7%,4.7%,91.4%,95.6%,"$526,538","$119,194",0%,--,1,--,25.5%,2.3%,2%,0%,1.4%,13.5%,0.7%,"$1,545",98.3%,83.5%,71.9%,75.3%,52.6%
424,--,96.1%,1.8%,100%,94.1%,"$757,313","$131,010",0%,--,1,--,14.6%,42.3%,49.2%,59.8%,42.9%,37.3%,59.8%,--,71.8%,66.7%,57.1%,81.3%,42.4%
425,--,100%,4.6%,92.6%,97.6%,"$703,959","$113,948",0%,--,0,--,16.1%,0%,0%,0%,0%,33.7%,--,--,99.8%,63.6%,85.7%,72.7%,59.5%
426,--,97.1%,11.7%,90.4%,54.4%,"$440,667","$90,801",0%,--,0,--,15.4%,69%,62.5%,55.1%,0%,86.5%,55.1%,"$1,407",68.4%,43.4%,48.1%,51%,60.7%
428,--,97.9%,12.2%,95.9%,91.3%,"$448,795","$87,667",0%,--,0,0,25%,0%,0%,0%,0%,7.9%,0.8%,--,99.8%,42.9%,52.6%,20%,61.3%
430,--,94.2%,33.6%,61.5%,43%,"$376,858","$62,057",14.5%,--,0,--,21.3%,29.3%,17.8%,67.3%,9.8%,84.5%,67.4%,"$1,655",27.5%,35.6%,32.7%,30.1%,59.1%
431,--,97.5%,16.1%,83.6%,70%,"$386,081","$67,179",0%,--,0,--,14.9%,0.1%,0%,0%,0.4%,14.9%,--,"$1,607",100%,41.2%,32%,42.9%,61.8%
432,--,97.5%,7.1%,88.8%,93.9%,"$440,328","$135,324",0%,--,0,--,26%,0%,0%,87%,0%,28.6%,--,"$1,339",100%,58.5%,72.4%,65.4%,77.9%
433,--,95.3%,1.6%,90.8%,100%,"$494,065","$138,636",0%,--,0,--,25%,0%,0%,64.5%,0%,91.4%,64.5%,--,100%,79.2%,88.9%,80%,65.1%
434,--,98.6%,2.5%,89.8%,94.3%,"$595,385","$179,859",0%,--,1,--,25.9%,14.2%,12.6%,23.2%,14.9%,14.2%,23.2%,--,82.7%,75%,50%,66.7%,56.6%
435,--,100%,5.4%,86.7%,88.1%,"$423,438",--,0%,--,0,--,12.2%,0.4%,2.8%,3.6%,1.2%,9.7%,9.7%,--,100%,25%,--,44.4%,64.2%
436,--,94.6%,15.2%,95.2%,94.5%,"$354,826","$89,911",0%,--,1,--,23.4%,33.7%,41.4%,14.6%,39%,88.7%,32.5%,"$1,958",100%,42.5%,43.8%,30.9%,55.6%
437,--,96.8%,8.6%,80.1%,68.1%,"$495,049","$123,300",0%,--,0,--,23%,0.4%,0.7%,3.9%,0.5%,78%,30.5%,"$1,570",60.4%,57.5%,36.4%,43.4%,53.7%
438,--,98.3%,4.6%,93.5%,69.5%,"$587,604","$119,211",8.2%,--,0,--,19.3%,45.9%,58.5%,1.6%,4.7%,99.6%,15.5%,"$1,423",59.8%,77.5%,90.3%,77.6%,55.7%
442,--,98.1%,21.9%,96.2%,81.3%,"$326,283","$92,877",0%,--,1,0,24%,32.6%,40.6%,86.6%,41.8%,96.8%,52.9%,"$1,654",91%,25%,25.9%,22.9%,48.1%
443,--,93.3%,7.5%,80.8%,83.3%,"$468,351","$152,250",0%,--,2,0,25.2%,0%,0%,54.4%,0%,0%,54.4%,"$2,723",83.8%,73.2%,62.1%,57.5%,54.6%
444,--,96.5%,13.3%,81.8%,73.7%,"$359,932","$92,328",0%,--,3,--,23.8%,0%,0%,78.2%,0%,0%,78.2%,"$1,848",99.9%,50%,31%,37.4%,69.9%
445,--,98.4%,3.2%,84.6%,83.8%,"$410,342","$135,938",0%,--,0,--,26.4%,18.8%,7%,55.9%,12.1%,99.8%,28.7%,"$2,741",100%,66.2%,64.7%,76.6%,66.8%
446,--,89.8%,12.2%,76.7%,76%,"$397,288","$147,697",0%,--,0,--,24%,0%,0%,0%,0%,46.9%,--,"$2,144",100%,48.1%,27.8%,49.1%,69.1%
447,--,97.6%,5.2%,94.7%,79.9%,"$415,967","$120,911",0%,--,0,--,28.3%,0%,0%,0%,0%,67.7%,26.4%,"$2,417",93%,65.4%,64.1%,65.3%,49.4%
448,--,98.6%,5.1%,89.6%,44.7%,"$433,409","$103,655",0%,--,0,--,24.3%,45.3%,42.2%,43.9%,70.4%,99.5%,40.6%,"$1,596",26.4%,64.6%,62.5%,66.3%,34.4%
449,--,89.7%,0.9%,96.9%,97%,"$1,418,063","$195,833",0%,--,1,--,21.3%,24.5%,21%,8.5%,30.3%,47.2%,8.5%,--,83.7%,100%,68.8%,81.8%,43.4%
450,--,94.1%,4.5%,86.6%,90.5%,"$593,103","$141,886",0%,--,0,--,24.3%,0%,0%,11.9%,0%,46.2%,17%,"$2,119",99.8%,64.9%,69.6%,52.8%,74.2%
451,--,96.7%,1.5%,97%,95.6%,"$692,947","$194,884",0%,--,2,--,25%,1.7%,0%,0%,0%,82.3%,--,"$3,500",88%,77.6%,75%,78.2%,57%
452,--,98.6%,8.8%,94.6%,94.3%,"$396,469","$131,538",0%,--,0,--,20.7%,14%,22.9%,46.4%,16.7%,98.4%,74%,"$1,708",94.5%,58.8%,25%,64.5%,44.8%
453,--,100%,6.9%,83.2%,66.8%,"$322,067","$56,250",0%,--,0,--,32.1%,60.3%,54.6%,92.8%,1.3%,100%,92.8%,"$1,596",42.2%,40.9%,33.3%,42.9%,62.6%
454,--,98.4%,5.2%,88.5%,90.1%,"$476,431","$116,667",0%,--,2,--,16.4%,10.3%,10%,13.4%,14.3%,32.8%,13.4%,"$3,206",100%,82.5%,53.8%,60.7%,55%
455,--,96.8%,5%,94.7%,88.2%,"$500,778","$112,159",0%,--,0,--,19.1%,15.8%,12.2%,11.4%,3.1%,22%,11.4%,"$1,787",87.1%,53.8%,81.8%,57.5%,68.8%
456,--,100%,1.2%,66.5%,36.2%,"$506,412","$80,714",0%,--,0,--,10.7%,90.2%,33.2%,100%,100%,100%,100%,"$3,181",54.8%,85.7%,--,--,50.9%
457,--,96.4%,0.9%,93.2%,100%,"$555,526","$189,667",0%,--,0,--,31.8%,0%,0%,13.4%,0%,59.7%,58.9%,--,100%,79.3%,89.5%,78.9%,72.9%
458,--,94.4%,4.6%,93.2%,95.6%,"$482,317","$141,786",0%,--,1,--,21.5%,9.4%,9.6%,6.2%,0%,91.9%,63.6%,--,100%,85.7%,78.6%,83.6%,53%
459,--,99.7%,13.7%,81.3%,92.2%,"$446,321","$99,750",0%,--,0,--,18.1%,11.9%,9.3%,8%,0%,93.1%,21.1%,"$2,625",92.4%,47%,60%,58.2%,75.3%
460,--,94.4%,12.9%,90.9%,68.7%,"$382,462","$101,513",0%,--,2,--,24.1%,43.1%,34%,86.6%,43.5%,76.5%,63.5%,"$1,344",69%,65%,63.9%,60.4%,57.9%
462,--,88%,6.3%,73.1%,82%,"$601,965","$117,075",0%,--,0,--,20.8%,0.6%,0%,9.7%,0.2%,24.4%,9.7%,--,100%,80%,70.4%,73.4%,62.4%
463,--,98%,20.3%,81.3%,49.8%,"$373,971","$71,250",4.5%,--,1,--,23.8%,73.8%,72.8%,96.7%,88.5%,71.4%,79.1%,"$1,246",16.8%,44.4%,65%,57.1%,56.9%
464,--,95.4%,3.2%,87.3%,64.6%,"$528,309","$101,515",4.6%,--,0,--,24.8%,19.5%,44.6%,54.2%,59.2%,46.6%,40.4%,"$1,990",47.5%,83.6%,84.1%,75.9%,54.3%
465,--,97.2%,9.2%,89.5%,48.1%,"$461,857","$128,304",0%,--,0,--,28.6%,0%,0%,5.4%,0%,100%,5.4%,"$1,704",51.6%,57.1%,60%,48.6%,67%
466,--,95.4%,12%,82.9%,81.2%,"$494,380","$103,750",0%,--,2,--,32.2%,3.5%,7.6%,44.1%,0%,54.7%,44.1%,"$1,830",91.8%,47.3%,71%,48.5%,71.8%
467,--,97.5%,2.4%,97.2%,78.7%,"$451,210","$141,607",0%,--,0,--,32.5%,27.5%,26.4%,26.1%,33.9%,69%,26.1%,"$2,125",66.4%,68.6%,78.1%,76.4%,39.1%
468,--,89.9%,0.3%,100%,100%,"$1,099,500",--,0%,--,0,--,1.7%,0%,25.3%,9.8%,53.3%,71.7%,--,--,91.3%,--,--,--,62.5%
469,--,95.7%,1%,95.1%,98.2%,"$770,712","$174,306",0%,--,0,--,28.3%,0%,0%,0%,0%,94.9%,--,--,80.8%,93.5%,100%,81.4%,75.5%
470,--,100%,0.7%,89.9%,81.4%,"$670,302","$176,439",0%,--,1,--,15.9%,16.1%,3.2%,0%,14.7%,61.5%,--,"$1,801",48.5%,79.3%,70%,91.9%,44.6%
471,--,99.1%,6.2%,86.1%,30.6%,"$415,297","$99,427",0%,--,0,--,16.8%,87%,54.4%,37.3%,79.4%,99.9%,59.5%,"$1,658",39.7%,63.6%,76.5%,63.1%,46.1%
472,--,100%,1.9%,96%,78.5%,"$1,100,345","$165,767",0%,--,0,--,14.6%,2.3%,8.6%,15.1%,9.7%,69%,15.1%,--,88.8%,66.7%,86.7%,84.6%,48.1%
473,--,99.8%,6.6%,77.2%,73.4%,"$485,542","$72,313",9.7%,--,0,--,15.4%,42.5%,64.6%,71.2%,73%,88.8%,35.1%,$875,46.1%,50%,69.2%,61.5%,46.7%
474,--,100%,5.4%,90.1%,78.7%,"$798,000","$135,929",0%,--,1,--,17.5%,72.1%,57.7%,49.8%,69.1%,36.1%,49.8%,"$1,684",51.9%,60%,76.5%,58.7%,45.8%
475,--,94%,0.6%,95.4%,77.5%,"$866,494","$211,250",0%,--,0,--,27%,0%,28.5%,23.9%,47.1%,99.9%,36.2%,"$1,762",90.9%,78.6%,81.8%,85.5%,64%
476,3,96.9%,15.8%,82.5%,26.9%,"$421,799","$100,040",5.3%,0,21,--,5.9%,59.1%,79.6%,99.3%,90.5%,100%,93.3%,"$1,814",1.3%,45.3%,48.1%,32.2%,10.4%
