NPA,2011,2014,2015,2016,2017,2018,2019,2021,2022,2023,2011 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2021 Raw,2022 Raw,2023 Raw
279,"86.4%","67.5%","67.5%","67.5%","67.5%","85.5%","67.5%","67.5%","67.5%","67.5%","752","587","587","587","587","744","587","587","587","587"
280,"0%","0%","0%","0.2%","0%","0%","0%","0.2%","0%","0.1%","0","0","0","1","0","0","0","1","0","1"
281,"99.8%","99.8%","99.8%","99.8%","99.8%","99.8%","100%","100%","100%","100%","460","481","481","481","481","481","586","654","654","654"
282,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
283,"0%","0%","29.9%","29.9%","29.8%","23.1%","29.7%","29.8%","29.7%","0%","0","0","314","314","314","243","313","316","318","0"
284,"0.7%","0.7%","0%","0%","1%","57.9%","68.5%","68%","68.2%","67.7%","2","2","0","0","3","407","899","938","1,013","1,065"
285,"--","--","--","--","--","--","--","--","0%","0%","0","0","0","0","0","0","0","0","0","0"
286,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
287,"98.9%","91.8%","91.8%","93.3%","93.3%","99.4%","93.2%","93.3%","93.3%","93.3%","1,164","1,131","1,131","1,133","1,133","1,227","1,328","1,331","1,331","1,369"
288,"19.8%","52.7%","53.3%","53.5%","24.5%","20.4%","24.2%","39.2%","39.5%","39.5%","193","514","529","532","244","204","242","489","492","492"
289,"19.5%","8.4%","8.4%","8.3%","8.2%","24.3%","6.5%","7.5%","25.6%","17.4%","250","108","108","108","108","331","115","139","638","450"
290,"1.3%","52.9%","52.6%","52.1%","1%","1.6%","61.9%","0%","21.5%","15.5%","3","220","219","214","4","4","200","0","322","412"
291,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
292,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
293,"39.8%","57.3%","57.2%","57.1%","56.9%","37.5%","57.4%","56.6%","57.9%","57.8%","143","203","203","202","201","132","202","197","209","208"
294,"27.1%","0%","0%","0%","0%","25.1%","0%","0%","0%","0%","118","0","0","0","0","119","0","0","0","0"
295,"3.7%","15.9%","15.9%","15.9%","16.1%","20%","16.1%","16.1%","0%","0%","16","83","83","83","83","103","83","83","0","0"
296,"0%","1.2%","1.1%","1%","0%","0%","0%","0%","0%","0%","0","6","6","6","0","0","0","0","0","0"
297,"38.4%","44.7%","44.7%","44.7%","44.7%","35.3%","46%","43.3%","46%","46%","58","67","67","67","67","53","69","65","69","69"
298,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","799","798","798","798","798","798","798","798","798","818"
299,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
300,"98.8%","100%","100%","98.8%","100%","100%","100%","100%","100%","100%","566","576","576","569","576","576","570","570","570","579"
301,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
302,"58.5%","51.9%","51.9%","51.9%","51.9%","51.6%","51.6%","52%","51.6%","51.6%","705","625","625","625","625","622","622","626","622","622"
303,"89.8%","84.3%","84.3%","84.3%","84.3%","90.7%","85.2%","85.4%","85.3%","85.5%","806","757","757","757","757","871","816","818","816","837"
304,"0%","0%","0%","0%","0%","0%","0%","100%","0%","0%","0","0","0","0","0","0","0","378","0","0"
305,"0%","0%","40%","40.2%","40.1%","40.1%","34.4%","33.1%","32.8%","0%","0","0","164","164","164","164","172","172","172","0"
306,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
307,"1.2%","26.1%","26.2%","20%","20%","1%","20.3%","19.1%","18.7%","18.7%","13","288","288","288","288","15","288","288","288","288"
308,"49.8%","26.6%","25.9%","25.9%","25.9%","42.8%","25.9%","25.9%","26%","64.5%","206","128","128","128","128","212","128","128","128","318"
309,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
310,"54.7%","65.7%","65.5%","65.3%","65.3%","53.3%","65.2%","65.3%","65.3%","66.1%","446","537","537","537","537","439","537","538","539","557"
311,"6.9%","0%","0%","0%","0%","6.9%","0%","0%","0%","0%","41","0","0","0","0","39","0","0","0","0"
312,"69.1%","64.6%","64.5%","64.5%","74.1%","77.2%","73.9%","73.6%","66.4%","66.3%","431","403","402","401","461","481","459","459","413","413"
313,"0%","0%","0%","0%","0.2%","0%","0%","0%","0%","0%","0","0","0","0","1","0","0","0","0","0"
