NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
210,"0%","9%","16.7%","14%","13.7%","7.4%","7.3%","0","114","211","211","211","114","114"
211,"38.7%","38.6%","39.4%","40.7%","40.5%","78.1%","77.2%","330","331","340","358","358","693","686"
212,"99.6%","99.6%","99.6%","99.6%","100%","100%","100%","497","497","497","497","494","494","632"
213,"55.4%","55.5%","97.3%","97.1%","96.4%","57%","47.4%","347","348","612","572","449","340","341"
215,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
216,"85%","85.9%","98.3%","85.7%","95.4%","84.4%","89.5%","307","311","353","318","352","318","342"
217,"0.2%","0.2%","20%","0.2%","0.2%","0.2%","2%","1","1","101","1","1","1","10"
218,"90.4%","90.4%","90.5%","87.2%","87.4%","87.4%","89.1%","1,108","1,108","1,109","936","936","937","1,106"
219,"4.1%","4%","3.9%","3.1%","36.7%","56.2%","56.3%","31","31","31","31","369","817","819"
220,"97%","97%","94.8%","83.8%","82.3%","99.1%","82.5%","642","642","626","552","541","651","541"
221,"100%","100%","100%","99.2%","99.7%","98.7%","98.7%","999","998","1,024","1,170","1,178","1,168","1,177"
