NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
238,"19","17","21","24","19","23","26","168","149","182","211","171","229","260"
240,"17","10","19","14","16","32","34","153","85","169","120","164","373","400"
241,"1","0","1","0","1","3","1","5","2","6","1","8","23","8"
242,"21","8","15","6","30","43","25","104","37","77","32","153","218","136"
243,"9","4","2","2","21","6","3","4","2","1","1","42","53","25"
244,"22","10","21","9","29","38","12","155","66","145","60","199","266","84"
245,"15","5","11","8","6","7","10","99","35","71","53","40","46","85"
246,"4","2","4","2","3","4","4","45","19","44","19","38","45","50"
247,"2","1","1","3","4","16","33","8","3","5","12","18","71","149"
248,"3","0","2","2","2","2","6","24","0","20","15","12","14","37"
249,"15","3","5","3","3","15","12","79","18","24","18","16","76","61"
250,"4","2","4","4","4","8","4","24","13","29","29","28","25","12"
251,"15","7","8","12","8","12","6","88","44","50","79","55","88","45"
252,"7","5","10","4","2","4","3","25","16","35","15","7","13","12"
253,"0","0","2","0","1","1","1","2","4","14","4","6","11","8"
254,"5","2","6","1","8","9","2","15","5","19","3","29","96","36"
255,"2","0","1","1","2","2","1","24","6","16","8","35","27","22"
256,"1","0","2","0","0","--","1","7","0","17","3","1","0","34"
257,"1","1","1","0","1","1","2","7","8","15","5","20","24","40"
258,"48","15","17","14","15","13","16","489","155","169","143","169","181","221"
259,"19","15","20","18","10","9","5","187","145","195","179","112","103","53"
260,"22","9","19","9","10","25","19","281","114","239","108","134","347","269"
261,"33","4","15","4","10","25","9","282","37","128","36","87","216","77"
262,"6","1","2","2","2","4","4","79","15","22","23","22","52","52"
263,"3","2","3","1","3","4","3","29","19","30","15","34","45","36"
264,"4","1","6","3","2","4","3","40","5","61","28","17","36","33"
265,"15","6","10","5","6","7","8","81","33","54","28","33","38","44"
266,"6","3","4","10","3","7","6","65","27","40","106","31","85","77"
267,"3","3","3","3","2","3","2","38","40","49","41","44","59","40"
268,"32","29","17","10","8","14","10","222","200","116","69","58","98","68"
269,"3","2","3","0","3","2","3","33","23","38","6","37","22","39"
270,"0","0","2","0","1","1","1","2","0","14","1","5","5","3"
271,"69","23","28","31","14","28","42","311","101","126","138","64","124","189"
272,"2","1","3","0","1","3","7","12","5","27","0","11","20","57"
273,"1","1","1","1","3","3","5","10","9","10","6","26","30","52"
274,"0","0","1","0","1","5","2","0","1","7","1","5","27","10"
275,"2","2","6","2","3","6","4","20","14","56","19","28","51","35"
276,"26","4","8","7","4","7","11","176","30","52","50","29","48","76"
277,"14","1","5","4","2","2","1","76","5","31","29","16","21","15"
278,"2","2","3","1","3","11","7","20","20","22","11","28","109","71"
