NPA,2011,2013,2015,2016,2017,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
412,"1.3%","1.2%","1.6%","1.6%","1.6%","1.5%","0.7%","0.7%","7.8%","1.2%","3","3","4","4","4","4","2","2","23","3"
413,"0.3%","0.2%","0.2%","0.2%","0.2%","0.7%","4.6%","1.9%","0.2%","0.4%","3","3","3","3","3","8","56","23","3","5"
416,"100%","100%","100%","100%","100%","100%","99.9%","99.9%","100%","100%","893","893","893","893","893","893","721","721","722","899"
417,"49.9%","49.8%","49.9%","45.2%","41%","37.1%","29.8%","30%","35.3%","46.4%","325","325","325","325","325","305","273","277","339","311"
418,"44.6%","44.5%","29.8%","29.8%","29.8%","35.4%","32.6%","37.8%","61.9%","37.7%","522","521","349","349","349","415","382","443","726","452"
419,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
420,"54.5%","53.6%","52.6%","52.2%","52.2%","49.4%","53.7%","54.5%","51.8%","52.2%","581","582","582","582","583","552","617","628","598","587"
421,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
422,"1.7%","1.5%","1.1%","1.1%","8.5%","21.7%","25%","24.9%","24.3%","9.1%","10","9","9","9","75","226","341","341","332","89"
423,"2%","1.9%","1.9%","1.8%","1.7%","1.8%","0.2%","0.2%","1.1%","2%","14","14","14","14","14","16","2","2","14","16"
424,"46.1%","46.1%","45.8%","45.8%","45.6%","46%","45.3%","45.4%","45.7%","49.2%","357","356","355","356","355","362","352","351","353","374"
425,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
426,"69%","69%","69.1%","69.1%","69.1%","62.2%","70.1%","70.1%","68.9%","62.5%","559","558","559","559","558","504","567","568","558","513"
428,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
430,"0%","0%","0%","0%","0%","0%","10.1%","10.1%","0%","17.8%","0","0","0","0","0","0","207","207","0","283"
431,"0%","0.1%","0.1%","0.1%","0.1%","0%","0.1%","0.1%","0.1%","0%","0","1","1","1","1","0","1","1","1","0"
432,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
433,"0%","0%","0%","0%","0%","0.3%","7.1%","0.3%","0%","0%","0","0","0","0","0","1","23","1","0","0"
434,"0%","0%","13.2%","13.4%","13.3%","12.8%","12.7%","11.9%","10%","12.6%","0","0","142","149","154","156","176","178","162","148"
435,"6.3%","5.7%","5.1%","4.9%","5.3%","2.8%","13.9%","13.9%","5.3%","2.8%","14","13","12","12","13","7","34","34","13","7"
436,"44%","44.4%","44.4%","44.5%","39.2%","41.8%","64.2%","64.2%","38.8%","41.4%","266","268","268","269","237","253","387","387","234","249"
437,"0%","1.2%","1.1%","1%","1%","0.9%","26.5%","1.1%","0%","0.7%","0","14","14","14","14","15","724","31","0","10"
438,"33.2%","45.6%","46.2%","58.1%","60.1%","50%","54.1%","50.4%","46.5%","58.5%","136","308","372","534","665","687","1,066","1,085","1,023","669"
442,"50.8%","50.7%","45.2%","44.8%","42.7%","39.6%","77.9%","28.2%","45.1%","40.6%","364","364","328","328","321","305","639","231","370","308"
443,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
444,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
445,"2.5%","2.5%","2.5%","2.5%","2.5%","7.1%","6.1%","6.1%","2.5%","7%","25","25","25","25","25","72","62","62","25","71"
446,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
447,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
448,"45.2%","39.2%","47.4%","45.5%","45.6%","40.5%","42.1%","42.1%","44.8%","42.2%","587","586","728","728","744","684","709","709","755","727"
449,"19%","19.3%","19.2%","18.8%","18.8%","19.7%","26.3%","26.3%","26.6%","21%","176","180","180","175","177","190","274","274","278","194"
450,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
451,"0.3%","0.2%","0.2%","0.1%","0.1%","0.1%","0%","0%","1.8%","0%","3","3","2","2","2","2","0","0","40","0"
452,"25.2%","22.4%","22.4%","23%","19.2%","24.4%","12.8%","10.9%","10.7%","22.9%","131","136","135","139","116","148","93","98","113","142"
453,"12.1%","10.8%","10.8%","10.7%","0%","10.7%","59.3%","60.4%","0%","54.6%","111","99","99","98","0","98","556","580","0","493"
454,"6.6%","9.4%","10.4%","10.4%","10.5%","10.6%","5.7%","5.7%","12.5%","10%","36","51","56","56","57","57","31","31","68","53"
455,"19.3%","19.3%","19.3%","19.3%","17.1%","17.8%","16.2%","15.6%","28.5%","12.2%","145","145","145","146","146","135","123","119","221","92"
456,"82%","29.5%","28.9%","28.5%","38.8%","45.5%","8.5%","51.6%","37%","33.2%","164","163","158","156","155","186","22","163","120","189"
457,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
458,"16.1%","15.7%","15.7%","15.7%","9.1%","9.1%","10.2%","10.2%","16.1%","9.6%","63","62","62","62","36","36","40","40","62","37"
459,"12.7%","12.7%","12.7%","12.7%","12.7%","9.2%","9%","8.9%","12.3%","9.3%","124","124","124","124","124","90","87","87","125","90"
460,"25.5%","25.2%","6%","33.1%","33%","32.1%","5.9%","23.6%","59.1%","34%","270","270","65","358","357","348","68","355","663","374"
462,"0.7%","0.7%","0.5%","0.5%","0.5%","0.4%","33.7%","0%","2.2%","0%","5","5","4","4","4","4","370","0","30","0"
463,"32.7%","32.4%","12.7%","57.3%","43.8%","41.4%","91.4%","81.9%","73.4%","72.8%","328","328","128","578","472","446","2,178","1,952","1,748","1,664"
464,"16.4%","15.7%","15.7%","15.6%","25%","42.7%","67.7%","67.4%","61.3%","44.6%","201","200","200","199","358","696","1,687","1,685","1,533","748"
465,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
466,"7.5%","7.4%","7.4%","7.2%","7.1%","7.9%","8.3%","8.1%","0.9%","7.6%","70","70","70","69","69","77","83","83","10","73"
467,"61.4%","60.1%","60.1%","60.2%","60.2%","37.7%","30.1%","21.2%","42.4%","26.4%","417","427","427","429","429","269","214","214","427","265"
468,"33.3%","33.3%","35.2%","31.4%","31.4%","28.4%","31.3%","31.7%","31%","25.3%","29","29","31","27","27","25","26","26","26","23"
469,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
470,"6.4%","6.7%","6.7%","6.7%","6.7%","3.1%","9.7%","9.7%","6.5%","3.2%","66","69","69","69","69","33","102","102","69","33"
471,"47.1%","47.4%","47.3%","47.5%","43.7%","58.3%","80.4%","80.4%","57.6%","54.4%","598","604","601","603","556","913","1,257","1,258","906","773"
472,"10.4%","10.4%","10.4%","10.3%","10%","8%","15.1%","15.1%","10.2%","8.6%","55","56","56","56","55","45","86","87","59","46"
473,"55.7%","55.5%","65.9%","54.3%","54.5%","65.1%","64.4%","64.4%","63.7%","64.6%","566","571","687","564","572","708","706","706","711","683"
474,"48.3%","48.1%","48%","48%","47.8%","46.1%","44.2%","44.2%","56.8%","57.7%","552","552","552","552","552","533","515","515","663","662"
475,"43.5%","33.1%","26.7%","33%","32.2%","31.8%","38.4%","35.9%","28.3%","28.5%","260","272","225","280","283","281","291","300","248","272"
476,"79.6%","82.2%","81%","80.3%","77.3%","79.5%","83.4%","90.5%","89.3%","79.6%","6,006","6,228","6,507","6,687","6,897","7,711","9,703","11,371","12,327","6,841"
