NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023
155,"18.8%","15.3%","14.3%","14.6%","11.7%","10.7%","11.4%","15.7%","18.4%","25.2%","26.3%"
156,"22%","19.3%","21.6%","21.7%","15.8%","16.4%","13.2%","17.5%","19.9%","28.4%","26.3%"
157,"64.9%","59.4%","73.6%","72.3%","58.4%","55.8%","28.6%","36.1%","43.4%","47.7%","39.9%"
158,"30.9%","31.2%","35.8%","37.4%","32.3%","28.4%","22.1%","27.8%","31.1%","38.9%","35.6%"
159,"51.9%","49.2%","61%","61.8%","49%","41.5%","36.5%","43.1%","47.6%","56.8%","56.8%"
160,"37%","37.7%","40%","41.6%","35.1%","30.9%","24.7%","30.6%","33.3%","40.2%","36.3%"
161,"21.7%","20.6%","18.9%","19.1%","13.4%","10.8%","18%","23.4%","30.1%","36.7%","19.5%"
162,"21.6%","24.8%","29%","30.1%","25.7%","21.7%","15.4%","20.5%","22.6%","31.6%","29.7%"
163,"22.7%","23.1%","22%","24%","10.1%","4.2%","12.7%","13.1%","15.3%","19.7%","19.5%"
164,"37%","33.7%","38.3%","39.7%","37.1%","38.3%","21.1%","26.5%","30.7%","35.8%","30%"
165,"38.7%","33.1%","32%","33.4%","28.6%","24.2%","23%","28.1%","31.5%","39.6%","37.4%"
166,"38.6%","24.5%","28.4%","29.3%","27.7%","24.4%","24%","29.1%","33%","34.5%","36.1%"
167,"29%","26.1%","30.7%","31%","23.9%","23.2%","15.3%","19.2%","24%","49%","46.9%"
168,"32.9%","28.7%","28.4%","28.4%","26.8%","24.6%","24.6%","28.7%","31.2%","39.1%","37.4%"
169,"3.6%","2.9%","3.2%","3.1%","2.7%","2.5%","2%","3.4%","3.6%","5.3%","5.1%"
170,"2.2%","2%","2.5%","2.5%","2.8%","2%","1.8%","2%","1.6%","3.3%","3.9%"
171,"3.2%","2.7%","1.7%","1.5%","1.9%","2.2%","4.6%","5.3%","5.9%","9.2%","7.9%"
172,"2.5%","2.1%","1.8%","1.9%","2.1%","1.4%","1.6%","2.3%","2.7%","4.1%","4%"
173,"34%","37.3%","44.4%","44%","35.5%","32.4%","26.7%","33.2%","38.2%","41.7%","37%"
174,"13.3%","12.2%","11.4%","11.4%","8.9%","7.6%","5.8%","8%","8.8%","20.2%","23.4%"
175,"1.6%","2.6%","2%","2%","1.8%","1.4%","0.9%","1.5%","2.2%","2.9%","2.8%"
176,"1%","1.8%","1.8%","1.8%","2%","1.6%","1.2%","2.7%","3.2%","4%","3.5%"
177,"1.3%","1.4%","1.9%","2.3%","1.4%","1.2%","1.1%","1.2%","1.4%","1.4%","1.3%"
178,"5.5%","3.8%","4.1%","3.7%","4.2%","4.6%","7%","10.1%","13.5%","19.6%","18.6%"
179,"3%","2.2%","1.2%","1.3%","1.1%","0.7%","2%","1.7%","1.7%","1.7%","1.5%"
180,"20.4%","21.8%","28%","29.1%","23.1%","20.5%","17.6%","20.6%","22.6%","26.2%","24.3%"
181,"3.4%","2.2%","2.1%","2.2%","1.5%","1.2%","1.4%","1.9%","2.2%","3.3%","2.7%"
182,"49.1%","48.9%","50.4%","52%","40.5%","34.8%","30.3%","38.2%","41.3%","46.7%","45.4%"
183,"27.3%","27%","32%","32.7%","26.2%","25.1%","21.5%","24.9%","27.7%","33.7%","35.4%"
184,"3.4%","3%","2.7%","2.8%","2.3%","1.5%","0.3%","0.6%","0.8%","1%","1%"
185,"23.1%","19.6%","17.6%","17.9%","13.8%","12.2%","10.5%","15.4%","18.1%","25.9%","24.7%"
186,"23.4%","21.9%","25.6%","26%","24.6%","19.3%","17.1%","22.9%","23.7%","29.3%","27.3%"
187,"2.3%","2.6%","3.3%","3.4%","2.3%","2%","1.4%","2.6%","3.5%","4.7%","6.2%"
188,"4.6%","4.1%","1.9%","2%","1.6%","2%","2.7%","4.1%","5.1%","7%","10.9%"
189,"8.7%","7.8%","4.3%","4.3%","3.7%","3.8%","2.5%","4.6%","7.8%","11.3%","11.1%"
190,"44.3%","43.6%","48.2%","49.8%","40.3%","40.2%","26.2%","33.4%","38.4%","45.5%","43.4%"
191,"9.5%","10.6%","8.6%","8.9%","7%","6.5%","8.3%","10.7%","15.2%","23%","20.4%"
192,"16%","16.1%","18%","17.8%","14.2%","7.8%","10.5%","14.6%","18.1%","22.7%","21.6%"
193,"8.6%","10.4%","6.3%","6.7%","8.1%","6.9%","3.2%","4.7%","5.9%","9.8%","9.7%"
194,"1.8%","1.7%","1.4%","1.4%","1.3%","1%","0.8%","1.4%","1.4%","2.5%","2.5%"
195,"14.4%","17.6%","14.5%","14.6%","13.2%","11.5%","9.1%","13.8%","17.6%","22.7%","23.9%"
196,"23.8%","21.6%","23.9%","24.4%","19.1%","18.4%","16.4%","20.8%","23.5%","29.1%","28.3%"
197,"26.3%","27%","27.3%","27.8%","25.6%","22.5%","20.3%","24.2%","28.8%","33.8%","31.7%"
198,"9%","8%","7.1%","7.2%","7.4%","9.4%","5.3%","6.1%","6.6%","9.1%","8.3%"
199,"37.3%","42.8%","47.4%","49.3%","42.3%","39.3%","30%","36.9%","44.1%","54%","49.1%"
200,"76.9%","80%","69.2%","71.7%","35.8%","34.9%","43.5%","52.2%","58.8%","69%","66.7%"
201,"2%","2%","1.6%","1.8%","1.8%","1.9%","2.4%","2.9%","4%","5%","4.1%"
202,"32.2%","32.6%","38.5%","40.3%","35%","33.6%","22.2%","27.5%","30.7%","35.3%","29.4%"
203,"13.5%","9.2%","11.3%","11.3%","8.7%","6.8%","5%","7.9%","8.5%","13.4%","13.8%"
