NPA,2011,2013,2015,2016,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
185,"1","0","0","0","0","1","1","2","3","7","6","6","5","2","10","12","28","44"
186,"0","1","1","1","0","0","0","0","0","1","7","12","6","3","1","0","3","3"
187,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
188,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","2"
189,"0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0"
190,"2","3","4","3","2","2","1","1","2","7","10","14","12","6","7","2","5","6"
191,"0","0","0","0","0","0","0","0","0","1","3","3","1","3","2","1","2","2"
192,"0","0","0","0","0","0","0","0","0","1","3","2","0","2","0","3","4","5"
193,"0","0","0","1","0","0","0","0","0","1","1","2","3","1","0","1","1","1"
194,"0","0","0","0","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
195,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
196,"0","0","1","1","0","0","0","0","0","3","1","7","5","3","3","1","1","3"
197,"2","4","1","1","1","1","0","0","1","16","37","14","10","11","8","3","2","10"
198,"0","0","0","0","0","0","0","1","1","2","1","0","1","0","1","0","4","5"
199,"1","3","5","6","2","1","8","5","6","17","42","60","73","27","18","107","66","82"
200,"0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","4"
201,"0","0","0","0","0","0","0","0","0","1","4","3","1","0","0","1","2","4"
202,"2","3","2","1","1","1","0","1","1","13","20","16","8","5","9","3","6","8"
203,"0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","1","0","1"
204,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","1"
205,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
206,"0","0","0","0","0","0","0","0","0","0","1","2","0","1","1","0","0","1"
207,"0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","2"
208,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
209,"0","0","0","1","0","0","0","0","0","2","5","4","10","1","0","4","2","1"
210,"0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","2","1","1"
211,"0","0","0","0","0","0","0","0","0","2","2","0","2","4","1","1","3","3"
212,"1","1","1","1","1","1","2","0","0","5","5","4","3","3","3","12","1","2"
213,"0","0","1","1","0","0","0","0","0","1","1","5","6","1","0","1","1","1"
215,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
216,"0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","1"
217,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","2"
218,"0","0","0","0","0","0","0","0","0","0","2","2","4","1","1","0","1","1"
219,"0","0","1","0","0","0","0","0","0","1","2","8","1","1","1","3","2","7"
220,"0","0","1","0","--","--","--","--","--","0","3","6","3","0","0","0","0","0"
221,"0","1","0","0","1","0","0","1","1","0","5","2","4","7","0","4","8","8"
222,"0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","1"
223,"1","2","2","2","0","0","1","0","0","8","16","11","11","3","2","5","1","1"
224,"0","0","0","0","1","0","0","0","0","2","1","0","2","9","2","2","1","3"
225,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
226,"0","0","0","0","0","0","0","0","1","2","1","1","0","1","1","0","1","3"
227,"0","1","1","1","0","0","0","0","0","0","6","8","7","1","2","2","2","2"
228,"1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1"
229,"1","2","1","1","1","0","0","0","0","5","16","6","7","6","3","3","1","3"
230,"1","2","1","1","0","0","1","0","0","8","19","8","12","4","7","10","3","4"
231,"0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","1","2"
232,"0","0","0","0","0","0","0","0","0","0","1","1","4","4","2","1","1","1"
233,"0","0","0","0","0","0","0","0","1","0","0","0","2","0","2","1","5","10"
234,"0","1","1","1","1","1","0","0","0","3","5","10","13","9","7","4","2","4"
235,"0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","1","0","0"
236,"0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0"
237,"0","1","1","1","0","1","0","1","1","2","14","11","9","1","6","5","7","9"
238,"0","1","1","1","1","0","0","0","0","4","9","12","10","8","3","3","1","2"
240,"1","1","1","1","0","0","0","0","0","11","10","7","8","3","5","5","3","3"
241,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0"
242,"0","0","1","0","0","0","0","0","0","0","1","3","1","0","2","1","1","1"
243,"0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
244,"0","0","0","0","0","0","0","1","1","2","2","3","2","0","1","0","6","5"
245,"0","0","0","2","0","0","0","1","1","2","3","2","11","2","2","0","6","9"
246,"0","1","1","1","0","0","1","1","1","6","8","18","16","3","5","8","11","15"
247,"1","2","1","2","1","0","1","2","3","5","10","4","7","3","2","5","11","14"
248,"0","1","2","2","1","1","2","2","3","4","12","15","16","7","9","14","15","17"
249,"3","2","1","1","2","1","1","0","0","16","10","7","7","12","5","4","2","2"
250,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0"
251,"0","0","0","0","0","0","0","0","0","1","2","0","2","2","1","1","2","2"
252,"0","0","1","1","0","0","0","0","0","1","0","3","2","1","0","0","0","0"
253,"0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","2","0","0"
254,"0","1","0","0","0","1","0","0","0","0","3","1","1","0","2","0","2","3"
255,"0","0","0","0","0","0","0","0","0","1","2","1","1","1","0","0","0","0"
256,"0","0","0","0","0","0","0","0","0","2","2","0","2","1","1","0","0","0"
257,"0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0"
258,"1","1","1","2","1","1","1","0","0","14","10","15","19","7","10","7","2","5"
259,"0","1","2","3","0","0","0","0","0","0","8","17","29","3","5","2","0","2"
260,"0","1","1","1","1","0","0","0","0","5","13","13","11","10","6","5","3","4"
261,"0","0","1","0","0","0","0","0","0","1","3","5","2","1","3","2","3","3"
262,"0","0","0","0","0","0","0","0","0","1","4","2","3","0","0","0","2","2"
263,"0","0","0","0","0","0","0","0","0","1","0","2","1","1","0","1","0","1"
264,"0","0","0","0","0","0","1","1","1","2","0","2","3","1","4","5","7","9"
265,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1"
266,"0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","2","1","2"
267,"0","0","0","0","0","0","0","0","0","0","1","0","2","3","1","0","0","1"
268,"0","0","1","1","0","0","0","0","0","3","3","4","8","3","3","3","2","2"
269,"0","0","0","0","0","0","0","0","0","1","0","1","3","0","1","5","0","0"
270,"7","1","2","2","1","0","1","1","2","39","7","11","13","3","2","8","7","10"
271,"1","2","3","3","1","0","0","1","1","6","11","14","13","4","1","0","3","3"
272,"0","0","3","0","1","0","0","0","0","2","2","22","1","5","1","2","2","4"
273,"0","0","0","0","0","0","0","0","0","1","1","2","1","1","0","1","1","2"
274,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","1"
275,"0","0","0","0","0","0","0","0","0","0","4","1","1","0","2","1","2","3"
276,"0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","2"
277,"0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1"
278,"0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","2","1","4"
279,"0","0","0","0","0","0","0","0","0","0","2","1","1","0","1","2","3","4"
280,"0","1","2","2","2","0","0","2","2","1","5","8","10","8","1","2","8","11"
281,"0","0","0","0","0","0","0","0","0","0","1","2","2","0","1","0","0","0"
282,"0","0","0","1","0","0","0","0","1","0","1","2","4","0","0","1","2","5"
283,"0","1","1","1","0","0","0","0","0","2","7","8","9","5","1","1","2","3"
284,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1"
285,"--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0"
286,"0","2","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
287,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
288,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
289,"0","0","0","0","0","0","0","0","0","0","1","4","1","2","2","1","3","7"
290,"1","1","1","3","1","1","0","0","0","3","4","6","12","3","3","0","3","6"
291,"1","2","2","7","3","2","1","0","1","11","23","19","68","31","18","6","3","9"
292,"1","3","4","3","1","1","1","2","3","5","11","17","13","4","2","3","9","14"
293,"6","6","8","7","3","2","3","1","1","22","22","27","25","12","6","9","3","5"
294,"2","6","6","4","1","0","2","2","2","7","24","27","16","7","1","12","9","13"
295,"0","1","2","2","1","0","0","0","0","1","6","9","11","4","2","1","0","0"
296,"0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0"
297,"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
298,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
299,"0","0","0","0","0","0","0","0","0","3","2","4","4","2","1","1","3","4"
300,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
301,"0","1","1","0","0","0","0","0","0","3","5","4","1","1","1","0","1","1"
