NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
77,"97.6%","84.2%","84.2%","94.4%","93.4%","93.5%","91%","1,999","1,790","1,890","2,119","2,157","2,190","2,245"
78,"70.8%","65.2%","65.2%","93.4%","97.3%","97.3%","70.4%","593","584","595","858","1,063","1,063","770"
79,"100%","100%","100%","100%","100%","100%","100%","679","679","518","679","679","679","679"
80,"86.3%","86.5%","86.2%","86.5%","86.7%","77.9%","82.4%","1,002","1,016","1,003","1,015","1,016","1,059","1,400"
81,"100%","96.5%","96.5%","96.6%","96.6%","97.1%","97.1%","454","438","438","450","450","531","531"
82,"62%","61.9%","61.9%","53.1%","98.7%","98.7%","99%","559","558","558","617","1,146","1,145","1,416"
83,"29.7%","29.9%","32.3%","24.7%","24.7%","25.8%","25.7%","87","88","94","73","74","78","77"
84,"25.2%","23.2%","23.5%","18.7%","6.3%","4.8%","3.2%","69","63","62","43","21","32","21"
85,"100%","100%","100%","100%","100%","100%","100%","781","776","771","767","754","762","767"
86,"100%","97.6%","95.7%","95.7%","97.9%","97.9%","98%","1,050","969","1,068","1,068","2,228","2,228","2,301"
87,"100%","99%","99.3%","99.3%","99.3%","99.4%","99.4%","690","677","677","677","715","714","715"
88,"100%","100%","100%","100%","100%","100%","100%","481","474","469","475","481","540","601"
89,"100%","100%","98.7%","98.7%","87%","98.7%","98.7%","549","549","543","543","476","541","541"
90,"100%","100%","100%","51.3%","51.3%","51.3%","51.4%","826","828","828","425","424","424","427"
91,"100%","100%","100%","100%","97%","100%","97%","840","839","839","838","813","839","814"
92,"97.1%","97.5%","90.7%","90.8%","91.9%","83.7%","83.7%","883","1,032","1,206","1,220","1,407","1,629","1,629"
