NPA,2013,2015,2016,2017,2018,2022,2023,2025
209,"1","1","1","1","1","1","2","2"
210,"1","2","2","2","2","1","2","1"
211,"1","1","2","1","1","1","1","1"
212,"2","2","2","2","2","2","2","2"
213,"2","2","2","2","2","2","2","2"
215,"1","1","2","1","1","1","1","2"
216,"2","1","2","2","2","2","2","2"
217,"2","2","2","2","2","2","2","2"
218,"2","2","2","2","2","2","2","2"
219,"1","1","1","1","1","2","2","2"
220,"1","2","2","2","2","--","--","2"
221,"1","1","1","1","1","1","1","1"
222,"2","2","2","2","2","2","2","2"
223,"2","2","2","2","2","2","2","2"
224,"1","1","1","1","1","2","2","2"
225,"1","2","1","1","1","--","1","1"
226,"2","1","2","1","1","2","2","2"
227,"1","1","1","1","1","1","1","1"
228,"1","2","2","1","1","2","2","2"
229,"1","1","1","1","1","2","2","1"
230,"2","2","2","2","2","2","2","2"
231,"1","1","2","2","2","2","2","2"
232,"2","2","2","2","2","2","2","2"
233,"1","1","1","1","1","2","2","1"
234,"2","1","2","2","2","2","2","2"
235,"1","1","1","1","1","1","1","1"
236,"1","1","1","1","1","1","1","1"
237,"2","1","2","2","2","2","2","2"
238,"1","2","2","2","2","2","2","2"
240,"2","2","2","2","2","1","2","2"
241,"2","1","2","2","2","1","2","1"
242,"1","2","2","2","2","2","2","2"
243,"1","2","2","2","2","2","2","1"
244,"1","1","2","1","1","1","1","1"
245,"1","1","1","1","1","2","2","2"
246,"2","2","2","2","2","2","2","1"
247,"1","1","1","1","1","1","1","1"
248,"1","1","1","1","1","1","1","1"
249,"2","2","2","2","1","2","2","2"
250,"1","1","1","1","1","1","2","1"
251,"1","1","1","1","1","2","2","1"
252,"1","1","1","1","1","1","2","1"
253,"2","1","2","1","2","2","2","2"
254,"2","1","1","1","1","2","2","2"
255,"1","1","1","1","1","1","1","1"
256,"1","1","1","1","1","--","1","1"
257,"2","2","2","2","2","2","2","2"
258,"1","1","1","1","1","2","2","2"
259,"1","1","1","1","1","1","1","1"
260,"1","1","1","1","1","1","2","1"
261,"2","2","2","2","2","2","2","2"
262,"2","2","2","2","2","2","2","2"
263,"2","1","2","2","2","2","2","2"
264,"2","1","2","1","1","2","2","2"
265,"2","2","2","2","2","2","2","2"
266,"1","1","1","1","1","1","1","1"
267,"1","1","1","1","1","1","1","1"
268,"1","1","1","1","1","2","2","1"
269,"1","2","2","2","2","2","2","1"
270,"1","1","1","1","1","2","2","2"
271,"2","2","2","2","2","2","2","2"
272,"1","1","2","2","2","1","1","1"
273,"1","1","1","1","1","1","1","1"
274,"1","1","2","1","1","1","2","2"
275,"1","1","1","1","1","1","1","1"
276,"1","1","1","1","1","1","1","1"
277,"1","1","1","1","1","2","2","1"
278,"1","1","1","1","1","1","1","1"
279,"1","1","1","1","1","1","3","3"
280,"1","1","2","1","1","1","1","1"
281,"1","1","1","1","1","1","1","1"
282,"1","1","1","1","1","2","2","2"
283,"1","1","2","2","2","2","2","2"
284,"1","1","1","1","1","2","2","2"
285,"1","1","1","1","1","2","2","1"
286,"1","1","1","1","1","2","2","1"
287,"1","1","1","1","1","--","--","1"
288,"1","1","1","1","1","--","--","1"
289,"1","1","1","1","1","2","2","1"
290,"2","1","1","1","1","2","2","2"
291,"1","1","1","1","1","1","1","1"
292,"1","1","1","1","1","2","2","2"
293,"2","2","2","2","2","2","2","2"
294,"2","2","2","2","2","2","2","2"
295,"2","2","2","2","2","2","2","2"
296,"1","1","1","1","1","2","2","2"
297,"2","2","2","2","2","2","2","2"
298,"1","2","2","2","2","--","--","2"
299,"1","1","1","1","1","1","1","1"
300,"1","1","1","1","1","--","--","1"
301,"1","1","1","1","1","1","1","1"
302,"1","1","1","1","1","1","1","1"
303,"2","2","2","2","2","2","2","2"
304,"2","2","2","2","2","2","2","2"
305,"1","1","2","1","1","2","2","2"
306,"1","1","1","1","1","1","1","1"
307,"1","1","2","2","2","2","2","2"
308,"1","1","1","1","1","1","1","1"
309,"2","2","2","1","1","1","2","1"
310,"2","2","2","2","2","2","2","2"
311,"2","2","2","2","2","2","2","2"
